nome,sku,preco_atual,preco_original,estoque,marca,categorias,descricao,imagens,url
Camélia Rosa,PD0922180,24.98,149.9,Disponível,,,"NOME CIENTÍFICO Camellia japonica; NOMES POPULARES Camélia, Japoneira. FAMÍLIA Theaceae. CLIMA Mediterrâneo, Subtropical, Temperado, Tropical. ORIGEM Ásia. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138627548/0a707b00f8.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138615585/a7c27690ff.jpg,https://www.plantadelivery.com.br/camelia-rosa
Capim do Texas - Roxo,PD092261,49.9,49.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Pennisetum setaceum; NOMES POPULARES Capim-do-texas, capim-chorão. FAMÍLIA Poaceae. CLIMA Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Tropical. ORIGEM África e Ásia. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138500352/a6bcb7cfcd.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138500352/6598eaa0a5.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138525674/31a496d164.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138436066/31540ef9a0.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138528165/8f00cbe122.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/238694666/alface-crespa-roxa-zu8vv62pax.png,https://www.plantadelivery.com.br/capim-do-texas-roxo
Capim do Texas - Verde,PD092286,49.9,49.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Pennisetum setaceum; NOMES POPULARES Capim-do-texas, capim-chorão. FAMÍLIA Poaceae. CLIMA Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Tropical. ORIGEM África e Ásia. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138525674/31a496d164.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138525674/fdcda27dcc.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138500352/a6bcb7cfcd.jpg,https://www.plantadelivery.com.br/capim-do-texas-verde
Caqui,PD102207,21.65,129.9,Disponível,Planta Delivery,,"Tamanho aproximado: 1,00 m a 1,50 m Indicado para Ambiente externo Tamanho Aproximadamente 1 a 1,30 metros de altura Torrão Aproximadamente 25 cm de diâmetro. Nome Científico Diospyros kaki. Luminosidade Cultivo em Pleno Sol. Origem Ásia. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138696278/641cf84551.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138696278/90d3c56702.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138696278/62680cbd8d.jpg,https://www.plantadelivery.com.br/caqui
Cereja Sakura,PD102223,21.65,129.9,Disponível,Planta Delivery,,"Tamanho aproximado: 1,00 m a 1,50 m Nome científico Prunus avium Nomes Populares Cereja Familía Rosaceae. Luminosidade Sol Pleno. Origem Ásia. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138723675/53735d6105.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138723675/98c01bacc2.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/175368290/f20328eaa5.jpg,https://www.plantadelivery.com.br/cereja
Chamaedorea,PD092234,,,Utilizamos cookies para que você tenha a melhor experiência em nosso site. Para saber mais acesse nossa página de,Planta Delivery,,"NOME CIENTÍFICO Chamaedorea elegans; NOMES POPULARES Camedórea-elegante, Camedórea, Palmeira-de-salão, Pacaia, Palmeira-bambu. FAMÍLIA Arecaceae. CLIMA Equatorial, Subtropical, Tropical. ORIGEM América Central, América do Norte, Belize, Guatemala, México. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138464719/4d37aa5e63.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138464719/97208c1b13.jpg,https://www.plantadelivery.com.br/chamaedorea
Chifre de Veado,PD0922121,99.9,99.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Platycerium bifurcatum; NOMES POPULARES Chifre-de-veado, Samambaia-chifre-de-veado. FAMÍLIA Polypodiaceae. CLIMA Equatorial, Oceânico, Subtropical, Tropical. ORIGEM Austrália, Ilhas da Sonda, Nova Caledônia, Nova Guiné, Oceania. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138550402/7a2c828756.jpg,https://www.plantadelivery.com.br/chifre-de-veado
Cica Circinalis,PD0922142,44.98,269.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Cycas circinalis; NOMES POPULARES Palmeira-sagu, Sagu, Cica, Cicas, Palmeira-samambaia, Cica-elegante. FAMÍLIA Cicadaceae. CLIMA Tropical, Subtropical, Equatorial, Oceânico. ORIGEM Ásia. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138610865/7d95ff5905.jpg,https://www.plantadelivery.com.br/cica-circinalis
Ciclanto,PD092228,31.65,189.9,Disponível,Planta Delivery,,"Folhas grandes, de até 1 metro de comprimento, eretas, coriáceas, inteiras ou com um recorte na ponta, dotadas de pecíolo longo, ereto e liso formados a partir da base como um tufo de hastes, de grande efeito ornamental. Cresce bem em ambas as condições, tanto em solo firme como planta ornamental, em terra fértil, rica em matéria orgânica, bem drenada e mantida úmida, como em solos encharcados como planta aquática. NOME CIENTÍFICO Cyclanthus bipartitus NOMES POPULARES Ciclanto, mapuá FAMÍLIA Cyclanthaceae CLIMA Subtropical, Tropical ORIGEM Região Amazônica, Brasil Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138463402/f21fb949fa.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138463402/ed9fc80693.jpg,https://www.plantadelivery.com.br/ciclanto
Cinerária Marítima - Caixa com 15 unidades,PD0922165,19.9,44.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Senecio douglasii; NOMES POPULARES Cinerária, Cinerária-marítima FAMÍLIA Asteraceae. CLIMA Continental, Equatorial, Mediterrâneo, Oceânico, Semi-árido, Subtropical, Tropical. ORIGEM América do Norte, Estados Unidos. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138622382/6841433723.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138622382/1dd69e04f3.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174033709/146cc62d69.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138609282/03311cb540.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174064565/55000e72c0.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174061194/326e1ae25f.jpg,https://www.plantadelivery.com.br/cineraria-maritima
Cissus Rhombifolia,PD0922104,89.9,89.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Cissus rhombifolia; NOMES POPULARES Cipó-uva, Anil-trepador, Cisso, Cissus, Uva-brava, Uva-brava, Uva-do-mato, Uva-selvagem. FAMÍLIA Vitaeae. CLIMA Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical. ORIGEM Ilha de Java. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138540239/1829158cf5.jpg,https://www.plantadelivery.com.br/cissus-rhombifolia
Clorofito - Caixa com 15 unidades,PD092259,19.9,39.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Chlorophytum comosum; NOMES POPULARES Clorofito, Gravatinha. FAMÍLIA Agavaceae. CLIMA Equatorial, Mediterrâneo, Subtropical, Tropical. ORIGEM África, África do Sul. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138499444/9bbb401ab5.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138499444/6ba319611c.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174033709/146cc62d69.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138609282/03311cb540.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174064565/55000e72c0.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174061194/326e1ae25f.jpg,https://www.plantadelivery.com.br/clorofito-caixa-com-15-unidades
Clúsia Variegata,PD0922201,79.9,89.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Clusia fluminensis; NOMES POPULARES Cúsia. FAMÍLIA Clusiaceae. CLIMA Tropical ou Tropical úmido. ORIGEM Brasil. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138636499/13cf531267.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/139814820/01f210cbe7.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138537441/4c2e717b7c.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138611281/14e7284859.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/135822450/c23eb1f352.jpg,https://www.plantadelivery.com.br/clusia-variegata-
Clúsia Verde,PD122113,89.9,79.9,Disponível,Planta Delivery,,"Tamanho aproximado: 0,40 a 0,60 m Nativa do litoral de São Paulo e Rio de Janeiro, a clúsia pode ter o porte de arbusto ou arvoreta, podendo atingir 6 metros de altura se não for podada. Sua folhagem é bastante ornamental, apresentando folhas rígidas, brilhantes em forma de gota. Ela tem uma característica interessante: é capaz de absorver gás carbônico durante a noite, tendo assim uma fotossíntese mais eficiente e uma grande proteção contra a desidratação. As flores são pequenas e brancas, e a espécie é dióica, isto é, apresenta plantas macho e fêmea separadas. A floração ocorre na primavera e verão. Os frutos pequenos atraem os passarinhos. Tem ampla utilização paisagística, sendo excelente para a implantação de cercas vivas e renques rústicos e resistentes, principalmente no litoral, onde outras plantas encontram dificuldade em se adaptar. Também pode ser plantada em vasos em terraços ou ambientes internos, além de arbustos informais isolados ou em grupos no jardim. Deve ser cultivada sob sol pleno ou meia-sombra, em solo fértil e leve, com regas periódicas. As podas devem ser regulares para manter o porte da planta arbustivo. Multiplica-se facilmente por estaquia, alporquia ou por sementes. NOME CIENTÍFICO Clusia fluminensis NOMES POPULARES Clúsia FAMÍLIA Clusiaceae CLIMA Equatorial, Mediterrâneo, Oceânico, Subtropical, Tropical ORIGEM América do Sul, Brasil. ALTURA Pode chegar a 4 metros. LUMINOSIDADE Meia Sombra, Sol pleno. CICLO DE VIDA Perene. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas: Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/139814820/01f210cbe7.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/139814820/2a981b877f.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/139814820/aedb5e060f.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138636499/13cf531267.jpg,https://www.plantadelivery.com.br/clusia-verde
Colar de Pérolas,PD092281,59.9,59.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Senecio rowleyanus; NOMES POPULARES Rosário, Colar-de-pérolas, Pérola-verde. FAMÍLIA Asteraceae. CLIMA Equatorial, Mediterrâneo, Subtropical, Tropical. ORIGEM África. Cuia 13 Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138509939/9a4947c419.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138509939/aa42fa7f23.jpg,https://www.plantadelivery.com.br/colar-de-perolas
Columeia Havaiana,PD0922122,89.9,99.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Columnea gloriosa; NOMES POPULARES Columéia havaiana. FAMÍLIA Gesneriaceae. CLIMA Equatorial, Subtropical, Tropical. ORIGEM Costa Rica. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138550631/8e63df9eaf.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138549741/70d4da08da.jpg,https://www.plantadelivery.com.br/columeia-havaiana
Columeia Peixinho,PD0922119,99.9,89.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Nematanthus wettsteinii; NOMES POPULARES Columéia-peixinho, Peixinho. FAMÍLIA Gesneriaceae. CLIMA Equatorial, Subtropical, Tropical. ORIGEM América do Sul, Brasil. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138549741/70d4da08da.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138550631/8e63df9eaf.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/173893200/ca4389feec.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/173894801/f72ba91437.jpg,https://www.plantadelivery.com.br/columeia-peixinho
Comigo Ninguém Pode  - P17,PD0922166,69.9,89.9,Disponível,Planta Delivery,,"Dieffenbachia seguine, conhecida pelos nomes comuns de comigo-ninguém-pode e aningapara, é uma planta da família das Araceae muito apreciada como ornamental de interiores, dada a sua tolerância à baixa luminosidade ambiente e baixa umidade relativa do ar. NOME CIENTÍFICO Dieffenbachia amoena; NOMES POPULARES Comigo-ninguém-pode, Difembáquia. FAMÍLIA Araceae. CLIMA Equatorial, Subtropical, Tropical. ORIGEM América Central. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138622745/ddcf83fbd6.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/147644198/df92d22e0c.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/177276726/ccd0711cb8.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/137872919/793af02460.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/137874114/ca6b51ed3b.jpg,https://www.plantadelivery.com.br/comigo-ninguem-pode
Congéia,PD092204,69.9,69.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Congea tomentosa; NOMES POPULARES Congéia, Côngea, Wooly congea. FAMÍLIA Verbenaceae. CLIMA Subtropical e Tropical. ORIGEM Índia e Malásia. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138326557/78746cbb4e.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138326557/c6bb57c4a5.jpg,https://www.plantadelivery.com.br/congeia
Coqueiro Anão,PD092237,169.9,199.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Cocos nucifera; NOMES POPULARES Coco, Coco-da-baía, Coco-da-praia, Coqueiro, Coqueiro-anão, Coqueiro-da-índia. FAMÍLIA Arecaceae. CLIMA Equatorial, Oceânico, Subtropical, Tropical. ORIGEM Ásia. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138465263/d5cb92cb8a.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138465263/80af4fe978.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/136967097/3f5febf703.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138527455/87d5ea568f.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138527955/a9bea4721f.jpg,https://www.plantadelivery.com.br/coqueiro-anao
Coroa de Cristo - Caixa com 15 unidades,PD092243,35.5,39.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Euphorbia milii; NOMES POPULARES Coroa de Cristo. FAMÍLIA Euphorbiaceae. CLIMA Equatorial, Subtropical, Tropical. ORIGEM África, Madagascar. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138468138/fc36874df8.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138468138/b3d6cf72f9.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138502372/0eb94e5548.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/136472670/9b19528711.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174033709/146cc62d69.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138609282/03311cb540.jpg,https://www.plantadelivery.com.br/coroa-de-cristo-caixa-com-15-unidades
Costela de Adão,PD092201,89.9,89.9,Disponível,Planta Delivery,,"Suas folhas são espetaculares! Gigantes, elas possuem um desenho único. As bordas são perfeitamente recortadas e possuem furos no meio, como se quisessem arejar-se. Além disso, apresentam uma coloração verde escura e são muito brilhantes. Deve ser cultivada em substrato rico em matéria orgânica, com regas regulares, à meia-sombra. Plantada isolada ou em pequenos grupos, pode ser tutorada para escalar sobre outras plantas e paredes. Produz frutos comestíveis. Multiplica-se por estaquia oriundas do caule. Indicado para: Ambiente interno; Tamanho: Aproximadamente de 30 a 50 cm de altura; Torrão: Aproximadamente 20 cm de diâmetro; Nome científico: Monstera deliciosa; Luminosidade: Cultivo em Meia Sombra ou Luz Indireta; Categoria: Trepadeiras; Origem: América do Norte, México; Ciclo de vida: Perene; Tamanho quando adulta: Pode chegar a 9 metros. Imagem Ilustrativa : A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138324877/bca270dc18.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138324877/af9e61b86d.jpg,https://www.plantadelivery.com.br/costela-de-adao
Cravina - Caixa com 15 unidades,PD092254,19.9,39.9,Disponível,Planta Delivery,,"NOME CIENTÍFICO Dianthus chinensis; NOMES POPULARES Cravina. FAMÍLIA Caryophyllaceae. CLIMA Mediterrâneo, Oceânico, Subtropical, Tropical. ORIGEM Ásia, Europa. OBS.: As cores das caixaria são sortidas. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138470448/9077212650.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138470448/fd9315963a.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174033709/146cc62d69.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138609282/03311cb540.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174064565/55000e72c0.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174061194/326e1ae25f.jpg,https://www.plantadelivery.com.br/cravina-caixa-com-15-unidades
Crista de Galo - Caixa com 15 unidades,PD092264,39.9,35.5,Disponível,Planta Delivery,,"NOME CIENTÍFICO Celosia cristata; NOMES POPULARES Crista-de-galo, Amaranto, Celósia, Suspiro. FAMÍLIA Amaranthaceae. CLIMA Continental, Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical. ORIGEM Ásia. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138502372/0eb94e5548.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138468138/fc36874df8.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/136472670/9b19528711.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174033709/146cc62d69.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138609282/03311cb540.jpg,https://www.plantadelivery.com.br/crista-de-galo-caixa-com-15-unidades
